Substituent,   PhCOOH,    Phenol
H,             4.21,      9.95
m-Br,          3.81,      9.11
m-CH3,         4.24,      10.08
m-CH3O,        4.09,      9.65
m-Cl,          3.83,      9.02
m-CN,          3.6,       8.61
m-F,           3.87,      9.28
m-NO2,         3.45,      8.35
p-Br,          4.00,      9.34
p-CH3,         4.34,      10.19
p-CH3O,        4.47,      10.2
p-Cl,          3.99,      9.38
p-CN,          3.55,      7.95
p-F,           4.14,      9.95
p-NO2,         3.44,      7.14