,           Source,           t (°C),           ρw (g cm-3),           pKw(exp.),           u[pKw(exp.)],           pKw(fit),           ΔpKw,           Diff.
199,           Sweeton et al. (1974)1  ,           0.0,           0.9998,           14.941,           0.009,           14.947,           -0.006,           0.003
212,           Busey and Mesmer (1978)54  ,           0.0,           0.9998,           14.941,           0.009,           14.947,           -0.006,           0.003
90,           Harned and Robinson (1940)49  ,           0.0,           0.9998,           14.944,           0.001,           14.947,           -0.003,           -0.002
277,           Chen et al. (1994)62  ,           0.0,           0.9998,           14.946,           0.005,           14.947,           -0.001,           0.004
262,           Ackermann (1958)61  ,           0.0,           0.9998,           14.955,           0.005,           14.947,           0.008,           -0.003
263,           Ackermann (1958)61  ,           10.0,           0.9997,           14.534,           0.005,           14.534,           0.0,           0.005
92,           Harned and Robinson (1940)49  ,           10.0,           0.9997,           14.535,           0.001,           14.534,           0.001,           0.0
93,           Harned and Robinson (1940)49  ,           15.0,           0.9991,           14.346,           0.001,           14.344,           0.002,           -0.001
264,           Ackermann (1958)61  ,           20.0,           0.9982,           14.161,           0.005,           14.165,           -0.004,           0.001
94,           Harned and Robinson (1940)49  ,           20.0,           0.9982,           14.167,           0.001,           14.165,           0.002,           -0.001
265,           Ackermann (1958)61  ,           25.0,           0.997,           13.999,           0.005,           13.994,           0.005,           0.0
191,           MacDonald et al. (1973)53  ,           25.0,           0.997,           13.99,           0.03,           13.994,           -0.004,           0.026
256,           Palmer and Drummond (1988)56  ,           25.0,           0.997,           14.0,           0.01,           13.994,           0.006,           0.004
292,           Hamann (1963)58  ,           25.0,           0.997,           13.997,           0.03,           13.994,           0.002,           0.028
213,           Busey and Mesmer (1978)54  ,           25.0,           0.997,           13.993,           0.009,           13.994,           -0.001,           0.008
278,           Chen et al. (1994)62  ,           25.0,           0.997,           13.999,           0.005,           13.994,           0.005,           0.0
103,           Perkovets and Kryukov (1969)50  ,           25.0,           0.997,           13.99,           0.02,           13.994,           -0.004,           0.016
200,           Sweeton et al. (1974)1  ,           25.0,           0.997,           13.993,           0.009,           13.994,           -0.001,           0.008
95,           Harned and Robinson (1940)49  ,           25.0,           0.997,           13.997,           0.001,           13.994,           0.002,           -0.001
266,           Ackermann (1958)61  ,           30.0,           0.9956,           13.833,           0.005,           13.833,           0.0,           0.005
96,           Harned and Robinson (1940)49  ,           30.0,           0.9956,           13.833,           0.001,           13.833,           0.0,           0.001
97,           Harned and Robinson (1940)49  ,           35.0,           0.994,           13.68,           0.001,           13.68,           0.0,           0.001
98,           Harned and Robinson (1940)49  ,           40.0,           0.9922,           13.535,           0.001,           13.534,           0.0,           0.001
267,           Ackermann (1958)61  ,           40.0,           0.9922,           13.533,           0.005,           13.534,           -0.001,           0.004
99,           Harned and Robinson (1940)49  ,           45.0,           0.9902,           13.396,           0.001,           13.396,           0.0,           0.001
257,           Palmer and Drummond (1988)56  ,           50.0,           0.988,           13.28,           0.01,           13.265,           0.015,           -0.005
279,           Chen et al. (1994)62  ,           50.0,           0.988,           13.276,           0.005,           13.265,           0.011,           -0.006
268,           Ackermann (1958)61  ,           50.0,           0.988,           13.263,           0.005,           13.265,           -0.002,           0.003
192,           MacDonald et al. (1973)53  ,           50.0,           0.988,           13.24,           0.03,           13.265,           -0.025,           0.005
100,           Harned and Robinson (1940)49  ,           50.0,           0.988,           13.262,           0.001,           13.265,           -0.003,           -0.002
201,           Sweeton et al. (1974)1  ,           50.0,           0.988,           13.272,           0.006,           13.265,           0.007,           -0.001
214,           Busey and Mesmer (1978)54  ,           50.0,           0.988,           13.272,           0.006,           13.265,           0.007,           -0.001
101,           Harned and Robinson (1940)49  ,           55.0,           0.9857,           13.137,           0.001,           13.14,           -0.003,           -0.002
102,           Harned and Robinson (1940)49  ,           60.0,           0.9832,           13.017,           0.001,           13.021,           -0.004,           -0.003
269,           Ackermann (1958)61  ,           60.0,           0.9832,           13.015,           0.005,           13.021,           -0.006,           -0.001
104,           Perkovets and Kryukov (1969)50  ,           60.0,           0.9832,           13.0,           0.02,           13.021,           -0.021,           -0.001
270,           Ackermann (1958)61  ,           70.0,           0.9778,           12.8,           0.005,           12.8,           0.0,           0.005
202,           Sweeton et al. (1974)1  ,           75.0,           0.9748,           12.709,           0.006,           12.697,           0.012,           -0.006
215,           Busey and Mesmer (1978)54  ,           75.0,           0.9748,           12.709,           0.006,           12.697,           0.012,           -0.006
280,           Chen et al. (1994)62  ,           75.0,           0.9748,           12.71,           0.005,           12.697,           0.013,           -0.008
193,           MacDonald et al. (1973)53  ,           75.0,           0.9748,           12.68,           0.03,           12.697,           -0.017,           0.013
271,           Ackermann (1958)61  ,           80.0,           0.9718,           12.598,           0.005,           12.6,           -0.002,           0.003
105,           Perkovets and Kryukov (1969)50  ,           90.0,           0.9653,           12.4,           0.02,           12.418,           -0.018,           0.002
272,           Ackermann (1958)61  ,           90.0,           0.9653,           12.422,           0.005,           12.418,           0.004,           0.001
281,           Chen et al. (1994)62  ,           100.0,           0.9583,           12.264,           0.005,           12.254,           0.01,           -0.005
106,           Perkovets and Kryukov (1969)50  ,           100.0,           0.9583,           12.29,           0.02,           12.254,           0.036,           -0.016
203,           Sweeton et al. (1974)1  ,           100.0,           0.9583,           12.264,           0.009,           12.254,           0.01,           -0.001
194,           MacDonald et al. (1973)53  ,           100.0,           0.9583,           12.24,           0.03,           12.254,           -0.014,           0.016
258,           Palmer and Drummond (1988)56  ,           100.0,           0.9583,           12.27,           0.01,           12.254,           0.016,           -0.006
216,           Busey and Mesmer (1978)54  ,           100.0,           0.9583,           12.264,           0.009,           12.254,           0.01,           -0.001
273,           Ackermann (1958)61  ,           100.0,           0.9583,           12.259,           0.005,           12.254,           0.005,           0.0
