### Data from CRC Handbook of Chemistry and Physics 85th ed (2005) - David R. Lide, page 8.82
### UPEI Stacks QD65.H3
### A similar table is available in the 60th ed (1980) in the lounge, page F-7
###
###
### %wt H2SO4 solution and their densities and molar concentrations
###
### Note: Found on internet. I hope its correct.
### Temp = 20.0 deg C
### Density is Density ρ at 20°C (g/cm³)
###
"%H2SO4",     "m(mol/Kg)",   "c(mol/L)",     "d(g/cm^3)"
0.5,          0.051,          0.051,          1.0016
1.0,          0.103,          0.102,          1.0049
2.0,          0.208,          0.206,          1.0116
3.0,          0.315,          0.311,          1.0183
4.0,          0.425,          0.418,          1.0250
5.0,          0.537,          0.526,          1.0318
6.0,          0.651,          0.635,          1.0385
7.0,          0.767,          0.746,          1.0453
8.0,          0.887,          0.858,          1.0522
9.0,          1.008,          0.972,          1.0591
10.0,         1.133,          1.087,          1.0661
12.0,         1.390,          1.322,          1.0802
14.0,         1.660,          1.563,          1.0947
16.0,         1.942,          1.810,          1.1094
18.0,         2.238,          2.064,          1.1245
20.0,         2.549,          2.324,          1.1398
22.0,         2.876,          2.592,          1.1554
24.0,         3.220,          2.866,          1.1714
26.0,         3.582,          3.147,          1.1872
28.0,         3.965,          3.435,          1.2031
30.0,         4.370,          3.729,          1.2191
32.0,         4.798,          4.030,          1.2353
34.0,         5.252,          4.339,          1.2518
36.0,         5.735,          4.656,          1.2685
38.0,         6.249,          4.981,          1.2855
40.0,         6.797,          5.313,          1.3028
42.0,         7.383,          5.655,          1.3205
44.0,         8.011,          6.005,          1.3386
46.0,         8.685,          6.364,          1.3570
48.0,         9.411,          6.734,          1.3759
50.0,         10.196,         7.113,          1.3952
52.0,         11.045,         7.502,          1.4149
54.0,         11.969,         7.901,          1.4351
56.0,         12.976,         8.312,          1.4558
58.0,         14.080,         8.734,          1.4770
60.0,         15.294,         9.168,          1.4987
70.0,         23.790,         11.494,         1.6105
80.0,         40.783,         14.088,         1.7272
90.0,         91.762,         16.649,         1.8144
92.0,         117.251,        17.109,         1.8240
94.0,         159.734,        17.550,         1.8312
96.0,         244.698,        17.966,         1.8355
98.0,         499.592,        18.346,         1.8361
100.0,               ,        18.663,         1.8305